tx_hash,scenario,expected_cycle,expected_profit_usd,borrowed_value_usd,confidence_target,inspired_by,is_real_attack
0xb5b7300d0974654c3561edf95bafee2c0c485fddad64632d3d4a7597d285b77e,Euler-style: 30M DAI flash loan,DAI → eDAI mint (Euler) → self-borrow leverage → exploit → DAI,8900000,30000000,HIGH,"Euler Finance, March 2023, $197M",false
0x5d3261f0a5a0b07a3b1ea47dce058fe1bf96bcfeb11d609b726cd2ceadf0eee5,"bZx Pump-style: 10K WETH, Uniswap WBTC manipulation",WETH → WBTC (Uniswap) → ETH (bZx oracle) → WETH,350000,24000000,HIGH,"bZx Pump Attack, Feb 14 2020, $350K",false
0x6b1756279f97ead655a922920c25ca3b5976ccc66fb01df93d1f0451434a5410,"bZx Oracle-style: 7,500 WETH, sUSD pump",WETH → sUSD (3 DEXes) → bZx oracle → WETH,620000,18000000,HIGH,"bZx Oracle Attack, Feb 18 2020, $620K",false
0xb2bdacc4b1a8dba11a09449cd65c76025a8f04008763785771a53ed03b244c16,"Cream-style: 500M DAI + 50K WETH, crYUSD mint exploit",DAI+WETH → yDAI/yUSD → crYUSD doubling → drain,130000000,620000000,HIGH,"Cream Finance Hack, Oct 27 2021, $130M",false
0x3d5bb93e05353dd06273ec6193ee2ce55a4705e1df8b26e404f842445dc96d4b,Harvest-style: 50M USDC + 50M USDT via Balancer,USDC+USDT → Curve y-pool manipulation → fUSDC arb → USDC,33800000,100000000,HIGH,"Harvest Finance, Oct 26 2020, $33.8M",false
0xd9ac39316c02501dc2435d553a65cafed1de4cba75372ecff5113f71b3675f71,Beanstalk-style: $1B governance attack,stablecoins → deposit to silo → vote → drain → withdraw,80000000,1000000000,HIGH,"Beanstalk Farms, April 17 2022, $182M",false
0x6f4c9059cecbec24740ac94b1ffa0f5adffade62f9e9ae9e0613a5933ef0f61c,PancakeBunny-style: WETH for token price pump,WETH → buy victim token → pump price → dump on oracle → WETH,45000000,4800000,HIGH,"PancakeBunny, May 19 2021, $45M (BSC)",false
0xf41a90b067163209c0872c8cfd9cc6d2241a1da28f0f00f81187ddc4522d99c0,"Mango-style: 5M USDC, perp price manipulation",USDC → long perp → pump spot → withdraw against inflated collateral → USDC,116000000,5000000,HIGH,"Mango Markets, Oct 11 2022, $116M",false
0x7a507c2db1618fbdf8390cd0adf537cb9a78223f3dcbdddec64a677993374103,Saddle-style: stablecoin pool slippage exploit,USDC+USDT → drain stable pool via slippage → USDC,11000000,20000000,HIGH,"Saddle Finance, April 30 2022, $11M",false
0x3dc519764bd4b2a9d8ed9155d04fa6b3692fda1ba99e2dbeddc1d4ee5f00bcf8,Alpha Homora-style: cyUSD mint exploit,USDC+WETH → cyUSD mint → counterfeit lending → drain,37500000,1300000000,HIGH,"Alpha Homora, Feb 13 2021, $37.5M",false
0xe8e1af5edc69ddc3a9c7310ee8b7040de52f4d4a65c8e5e95195d6c8269d6626,Legitimate arb: 100K USDC cross-DEX,USDC → WETH (Uniswap) → USDC (Sushiswap) — tiny profit,250,100000,LOW,Routine arbitrage bot behavior,false
0x370f3e9d7626b4f019673f2cee846ca52275bb9cf3507632c3a70796a6922a34,MEV arb: 200 WETH triangular,WETH → USDC → WBTC → WETH,1200,480000,MEDIUM,MEV searcher activity,false
0xf22e7fa9c338a269b5b6f0714461093db1270ac4e089a3d83a33379574370828,Uniswap V3 flash: USDC/WETH dual-side,USDC+WETH → external swap → repay both sides,8500,1700000,MEDIUM,Uniswap V3 native flash pattern,false
0xe0a6d93019a1a34bfe59d43a96dc7832c1de342704124c71e19b3c2029a5f465,Balancer V2 triple-asset attack,WETH+WBTC+DAI → complex 3-token arb → repay,25000000,35000000,HIGH,Balancer flash exploit class,false
0x19553856cbaee4736b0e35fc31782e875441baedfb29cf1f543fc886ae96b8d8,Whale flash: 100M USDC,Unknown — must trigger LOW alert based on size alone,0,100000000,LOW,"Edge case: huge loan, no obvious arb",false
